{'loss': 3.0, 'grad_norm': 8.611528250789666, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 3.2188, 'grad_norm': 13.06574553315626, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.5, 'grad_norm': 10.641366095213428, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.2969, 'grad_norm': 11.821976165375789, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 2.8438, 'grad_norm': 11.559056532525824, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 2.9375, 'grad_norm': 11.563527117021701, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.3125, 'grad_norm': 11.917175551911576, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.2812, 'grad_norm': 10.614106138263285, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 3.5156, 'grad_norm': 9.570596723858214, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 3.3281, 'grad_norm': 13.687811819214046, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 3.0938, 'grad_norm': 14.919572095742605, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 3.3438, 'grad_norm': 13.404964539281817, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 3.0, 'grad_norm': 13.62725813832615, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 3.3438, 'grad_norm': 13.85617024929088, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 2.7188, 'grad_norm': 15.88445565416151, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 3.1094, 'grad_norm': 13.490897940983364, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.9688, 'grad_norm': 10.374512247581961, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 3.1094, 'grad_norm': 11.218870635066049, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.9844, 'grad_norm': 24.778961338833785, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.875, 'grad_norm': 18.57163866374369, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 3.2031, 'grad_norm': 10.170628621264235, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.4219, 'grad_norm': 12.378084347201858, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 2.8281, 'grad_norm': 17.424958880123754, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 2.5469, 'grad_norm': 15.263963029277997, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 2.5156, 'grad_norm': 11.167134508978325, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 2.8438, 'grad_norm': 10.434422190999559, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.5469, 'grad_norm': 8.869413855889475, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.5625, 'grad_norm': 7.475431520946244, 'learning_rate': 2e-05, 'epoch': 0.12}
