{'loss': 3.2969, 'grad_norm': 8.714164174460775, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 3.3594, 'grad_norm': 8.128486322384092, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 3.1719, 'grad_norm': 11.915371164647565, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 3.1719, 'grad_norm': 11.408181156121259, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 3.2656, 'grad_norm': 7.410388430792192, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.4844, 'grad_norm': 10.210658826761904, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.5312, 'grad_norm': 6.2256575973149095, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.0781, 'grad_norm': 8.226034935319733, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.4219, 'grad_norm': 8.017552136568476, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.6406, 'grad_norm': 9.580740289235301, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.7969, 'grad_norm': 6.580472320930182, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.7188, 'grad_norm': 8.950205081738448, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 2.9531, 'grad_norm': 9.249130772894745, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.0781, 'grad_norm': 12.141656431544279, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.3125, 'grad_norm': 33.93048922623467, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.1562, 'grad_norm': 9.337238368722058, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 2.7812, 'grad_norm': 11.029510825327677, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.1406, 'grad_norm': 11.70375218990609, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 2.9531, 'grad_norm': 7.214853201256005, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.0312, 'grad_norm': 6.79025276963439, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.1094, 'grad_norm': 6.24740592895989, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.3906, 'grad_norm': 10.375773543428478, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.3125, 'grad_norm': 9.753379612530864, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.125, 'grad_norm': 13.487060172979637, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 2.875, 'grad_norm': 10.482803374502716, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 2.9375, 'grad_norm': 12.323622600485368, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.6875, 'grad_norm': 7.732238438481504, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.2656, 'grad_norm': 14.585271907120244, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.0156, 'grad_norm': 10.060856015814013, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 2.9062, 'grad_norm': 10.638996642140716, 'learning_rate': 2e-05, 'epoch': 0.03}
