{'loss': 3.5234, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 3.0312, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 3.2734, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.2266, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.4141, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.3281, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.3984, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.3984, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.4766, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.3281, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.5078, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.2891, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.1641, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.3359, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.1172, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.2266, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 2.9609, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 3.0859, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 3.125, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 3.2422, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 3.1328, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 2.9297, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 2.7344, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 2.8438, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 3.1406, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 2.9531, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 3.0625, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 2.8281, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 2.6016, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 2.8125, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.3203, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.5391, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.6172, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 3.25, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.4141, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.7188, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.7031, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.6719, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.6719, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.4062, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.4453, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.3359, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.2891, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 2.3125, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 2.5469, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 2.3281, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 2.6406, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 3.1562, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 2.6406, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 2.2812, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 2.8438, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 2.3984, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.6562, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.3125, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.4297, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.1484, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.6328, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 2.3516, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 2.6797, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 2.6719, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 2.1484, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 2.2734, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 2.3594, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 2.1719, 'learning_rate': 2e-05, 'epoch': 0.14}
{'loss': 2.5156, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 2.1406, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 2.3672, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 2.207, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 2.1406, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 2.2617, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.375, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.4844, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.5156, 'learning_rate': 2e-05, 'epoch': 0.16}
{'loss': 2.3047, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.6094, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.7812, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.0273, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.3359, 'learning_rate': 2e-05, 'epoch': 0.17}
{'loss': 2.3281, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 2.2734, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 2.1797, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 2.2891, 'learning_rate': 2e-05, 'epoch': 0.18}
{'loss': 2.0547, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 2.7344, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 2.3594, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 2.082, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 2.625, 'learning_rate': 2e-05, 'epoch': 0.19}
{'loss': 2.0664, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 2.2539, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 2.2578, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 2.2969, 'learning_rate': 2e-05, 'epoch': 0.2}
{'loss': 2.0938, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 2.1094, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 2.4844, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 2.0312, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 1.9414, 'learning_rate': 2e-05, 'epoch': 0.21}
{'loss': 2.2656, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.082, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.6172, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.0273, 'learning_rate': 2e-05, 'epoch': 0.22}
{'loss': 2.4531, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 2.25, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 2.2969, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 2.4297, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 2.0781, 'learning_rate': 2e-05, 'epoch': 0.23}
{'loss': 2.5625, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 2.3594, 'learning_rate': 2e-05, 'epoch': 0.24}
{'loss': 2.5312, 'learning_rate': 2e-05, 'epoch': 0.24}
